trade_date,ticker,expiration,dte,option_type,contract_symbol,strike,last_price,bid,ask,mid,volume,prev_volume,volume_change,volume_change_pct,open_interest,implied_volatility,last_trade_date,underlying_close,underlying_high,underlying_low,underlying_change_pct,spread_pct,distance_pct,signed_distance_pct,premium_notional,prev_premium_notional,premium_notional_change,premium_notional_change_pct,open_interest_notional,prev_open_interest,oi_change,oi_change_pct,oi_change_notional,volume_oi_ratio,is_monthly,contract_score,expiration_rank,positioning_score,oi_score,confirmation_score,flow_score,liquidity_score,location_score,structure_score,expiration_pref_score,tape_score,raw_rank_score,continuity_days,continuity_score,band_id,band_label,band_low_strike,band_high_strike,band_continuity_days,band_continuity_score,total_score,block_buy_volume,block_sell_volume,block_net_volume,block_buy_notional,block_sell_notional,block_net_notional,sweep_count,block_score,block_label
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00180000,180.0,7.75,7.75,7.8,7.775,11999.0,6798.0,5201.0,0.7650779641070903,28625.0,0.4057676611328125,2026-03-20 19:59:51+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.006430868167202549,0.04226985049655564,0.04226985049655564,9329222.5,7103909.999999999,2225312.500000001,0.3132517866921176,22255937.5,25700.0,2925.0,0.11381322957198443,2274187.5,0.41917903930131006,1,67.34,2,0.0,0.0,8.58554985407256,0.0,0.0,0.0,0.0,0.0,0.0,67.34,0.0,0.0,,,0.0,0.0,0.0,0.0,67.34,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00180000,180.0,4.13,4.15,4.2,4.175000000000001,24616.0,7925.0,16691.0,2.106119873817035,30175.0,0.3803772900390625,2026-03-20 19:59:57+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.011976047904191572,0.04226985049655564,0.04226985049655564,10277180.000000002,5309750.0,4967430.000000002,0.9355299213710631,12598062.500000002,28918.0,1257.0,0.04346773635797773,524797.5000000001,0.8157746478873239,1,73.73,1,0.0,0.0,7.394285714285714,0.0,0.0,0.0,0.0,0.0,0.0,73.73,0.0,0.0,,,0.0,0.0,0.0,0.0,73.73,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00200000,200.0,2.1,2.06,2.11,2.085,12641.0,6196.0,6445.0,1.040187217559716,85762.0,0.3687807263183594,2026-03-20 19:59:59+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.02398081534772174,0.1580776116628396,0.1580776116628396,2635648.5,1967230.0,668418.5,0.33977648775181346,17881377.0,83401.0,2361.0,0.028309013081377923,492268.49999999994,0.14739628273594366,1,83.04,1,0.0,0.0,7.385710078835697,0.0,0.0,0.0,0.0,0.0,0.0,83.04,0.0,0.0,,,0.0,0.0,0.0,0.0,83.04,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00195000,195.0,0.8,0.79,0.82,0.8049999999999999,14269.0,10064.0,4205.0,0.41782591414944353,34776.0,0.3481510498046875,2026-03-20 19:59:19+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.03726708074534151,0.1291256713712686,0.1291256713712686,1148654.4999999998,1569984.0,-421329.50000000023,-0.268365473788268,2799467.9999999995,32151.0,2625.0,0.08164598301763554,211312.5,0.4103117092247527,1,47.07,5,0.0,0.0,5.7557965370558986,0.0,0.0,0.0,0.0,0.0,0.0,47.07,0.0,0.0,,,0.0,0.0,0.0,0.0,47.07,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00185000,185.0,2.48,2.5,2.54,2.52,21967.0,8560.0,13407.0,1.5662383177570094,44955.0,0.36340968627929693,2026-03-20 19:59:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.015873015873015886,0.07122179078812663,0.07122179078812663,5535684.0,3745000.0,1790684.0,0.4781532710280374,11328660.0,43769.0,1186.0,0.02709680367383308,298872.0,0.48864419975531087,1,70.26,2,0.0,0.0,5.389759394623881,0.0,0.0,0.0,0.0,0.0,0.0,70.26,0.0,0.0,,,0.0,0.0,0.0,0.0,70.26,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-04-17,28,C,TSLA260417C00380000,380.0,12.2,12.25,12.4,12.325,6299.0,3596.0,2703.0,0.7516685205784205,1746.0,0.4382990740966797,2026-03-20 19:58:34+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.012170385395537555,0.032720971911403475,0.032720971911403475,7763517.499999999,6634620.0,1128897.499999999,0.1701525482996764,2151944.9999999995,1066.0,680.0,0.6378986866791745,838100.0,3.6076746849942727,1,46.6,3,0.0,0.0,5.096493389089684,0.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,,,0.0,0.0,0.0,0.0,46.6,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00190000,190.0,1.42,1.42,1.45,1.435,13313.0,11454.0,1859.0,0.16230137943076656,50648.0,0.3518131225585937,2026-03-20 19:59:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.020905923344947754,0.10017373107969763,0.10017373107969763,1910415.5000000002,3069671.9999999995,-1159256.4999999993,-0.3776483285510633,7267988.0,48889.0,1759.0,0.03597946368303708,252416.5,0.26285341968093506,1,56.73,4,0.0,0.0,3.6846083575123174,0.0,0.0,0.0,0.0,0.0,0.0,56.73,0.0,0.0,,,0.0,0.0,0.0,0.0,56.73,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00190000,190.0,4.17,4.15,4.25,4.2,6892.0,7055.0,-163.0,-0.02310418143160879,47761.0,0.38373419006347653,2026-03-20 19:58:20+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.023809523809523725,0.10017373107969763,0.10017373107969763,2894640.0,4250637.5,-1355997.5,-0.31901038373655716,20059620.0,45636.0,2125.0,0.04656411604873346,892500.0,0.14430183622620968,1,48.53,4,0.0,0.0,3.6324786324786325,0.0,0.0,0.0,0.0,0.0,0.0,48.53,0.0,0.0,,,0.0,0.0,0.0,0.0,48.53,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-04-17,28,C,TSLA260417C00390000,390.0,8.55,8.55,8.65,8.600000000000001,4475.0,2466.0,2009.0,0.8146796431467964,2637.0,0.4260921649169922,2026-03-20 19:59:34+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.011627906976744143,0.059897839593282515,0.059897839593282515,3848500.000000001,3322935.0000000005,525565.0000000005,0.15816288913264942,2267820.0000000005,2513.0,124.0,0.04934341424592121,106640.00000000001,1.6970041714069017,1,30.24,4,0.0,0.0,2.8287971495004123,0.0,0.0,0.0,0.0,0.0,0.0,30.24,0.0,0.0,,,0.0,0.0,0.0,0.0,30.24,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-04-17,28,C,TSLA260417C00400000,400.0,5.76,5.75,5.85,5.8,8406.0,8373.0,33.0,0.003941239699032604,8110.0,0.4173031903076171,2026-03-20 19:59:51+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.01724137931034477,0.08707470727516156,0.08707470727516156,4875480.0,7954350.0,-3078870.0,-0.3870674536574327,4703800.0,5737.0,2373.0,0.4136308175004358,1376340.0,1.036498150431566,1,52.97,2,0.0,0.0,2.541189705710426,0.0,0.0,0.0,0.0,0.0,0.0,52.97,0.0,0.0,,,0.0,0.0,0.0,0.0,52.97,0,0,0,0,0,0,0,0,
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00210000,210.0,0.99,0.99,1.01,1.0,5969.0,3323.0,2646.0,0.7962684321396328,41085.0,0.36304347900390627,2026-03-20 19:59:15+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.020000000000000018,0.2159814922459816,0.2159814922459816,596900.0,511742.0,85158.0,0.16640807281794343,4108500.0,40597.0,488.0,0.012020592654629653,48800.0,0.14528416697091395,1,36.75,5,0.0,0.0,2.11040738482433,0.0,0.0,0.0,0.0,0.0,0.0,36.75,0.0,0.0,,,0.0,0.0,0.0,0.0,36.75,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-04-17,28,C,TSLA260417C00500000,500.0,0.23,0.21,0.23,0.22,2243.0,3319.0,-1076.0,-0.3241940343476951,28362.0,0.49609878906250005,2026-03-20 19:59:51+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.090909090909091,0.35884338409395194,0.35884338409395194,49346.0,61401.5,-12055.5,-0.1963388516567185,623964.0,27170.0,1192.0,0.043871917556128084,26224.0,0.07908469078344263,1,53.06,1,0.0,0.0,1.2619098030912557,0.0,0.0,0.0,0.0,0.0,0.0,53.06,0.0,0.0,,,0.0,0.0,0.0,0.0,53.06,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-05-15,56,C,TSLA260515C00450000,450.0,4.1,4.05,4.15,4.1,1918.0,2765.0,-847.0,-0.30632911392405066,7559.0,0.4426935614013672,2026-03-20 19:59:17+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.024390243902439157,0.22295904568455674,0.22295904568455674,786379.9999999999,1645175.0,-858795.0000000001,-0.522008296989682,3099190.0,6685.0,874.0,0.13074046372475692,358339.99999999994,0.2537372668342373,1,51.03,4,0.0,0.0,1.2397163120567376,0.0,0.0,0.0,0.0,0.0,0.0,51.03,0.0,0.0,,,0.0,0.0,0.0,0.0,51.03,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-05-15,56,C,TSLA260515C00410000,410.0,11.15,11.15,11.25,11.2,848.0,575.0,273.0,0.4747826086956522,14591.0,0.4536797796630859,2026-03-20 19:56:52+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.008928571428571397,0.1142515749570406,0.1142515749570406,949759.9999999999,892687.5,57072.49999999988,0.0639333473359937,16341919.999999998,14435.0,156.0,0.010807066158642189,174719.99999999997,0.058118017956274415,1,56.25,2,0.0,0.0,0.9191647664227197,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,,,0.0,0.0,0.0,0.0,56.25,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-05-15,56,C,TSLA260515C00400000,400.0,14.15,14.1,14.25,14.175,1930.0,1647.0,283.0,0.17182756527018822,8208.0,0.460515648803711,2026-03-20 19:59:55+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.010582010582010606,0.08707470727516156,0.08707470727516156,2735775.0,3166357.5,-430582.5,-0.13598669764863885,11634840.0,8074.0,134.0,0.016596482536537033,189945.0,0.2351364522417154,1,66.71,1,0.0,0.0,0.8446584316234409,0.0,0.0,0.0,0.0,0.0,0.0,66.71,0.0,0.0,,,0.0,0.0,0.0,0.0,66.71,0,0,0,0,0,0,0,0,
2026-03-20,TSLA,2026-04-17,28,C,TSLA260417C00450000,450.0,0.76,0.75,0.78,0.765,3121.0,4547.0,-1426.0,-0.3136133714537057,12259.0,0.42529871582031253,2026-03-20 19:59:21+00:00,367.9599914550781,379.8900146484375,364.4601135253906,-3.2448058727281293,0.03921568627450984,0.22295904568455674,0.22295904568455674,238756.5,497896.5000000001,-259140.00000000012,-0.520469615673137,937813.5,11916.0,343.0,0.028784827123195703,26239.5,0.25458846561709764,1,29.71,5,0.0,0.0,0.3631166631378361,0.0,0.0,0.0,0.0,0.0,0.0,29.71,0.0,0.0,,,0.0,0.0,0.0,0.0,29.71,0,0,0,0,0,0,0,0,
